country,type,point,era5_lat,era5_lon,reference_lat,reference_lon,selection_method,cluster_id,cluster_assets,cluster_capacity_mw,distance_reference_era5_km,gfs_lat,gfs_lon,distance_gfs_era5_km
BE,load,1,50.75,4.5,50.854847977089925,4.406216183280526,population_density_weighted_kmeans_load,1,8,,13.392481144268887,50.742188,4.453125,3.410576534665975
BE,load,2,50.75,5.5,50.74424614860259,5.52180770279482,population_density_weighted_kmeans_load,2,3,,1.6623952507525173,50.742188,5.507812,1.0279466996777362
BE,load,3,51.25,3.0,51.21348272960117,3.021734760336627,population_density_weighted_kmeans_load,3,2,,4.333371822913733,51.210938,3.046875,5.433116658531866
BE,load,4,51.0,3.5,50.966232117563735,3.5413031515580737,population_density_weighted_kmeans_load,4,2,,4.739034851928809,50.976562,3.515625,2.8263623261105026
BE,offshore,1,51.5,2.75,51.5,2.75,single_offshore_zone_spatial_era5_grid,1,10,2262.1,0.0,51.445312,2.695312,7.164239244113587
BE,offshore,2,51.75,2.75,51.75,2.75,single_offshore_zone_spatial_era5_grid,2,10,2262.1,0.0,51.796875,2.695312,6.428541006780736
BE,offshore,3,51.5,3.0,51.5,3.0,single_offshore_zone_spatial_era5_grid,3,10,2262.1,0.0,51.445312,3.046875,6.893451443387076
BE,offshore,4,51.75,3.0,51.75,3.0,single_offshore_zone_spatial_era5_grid,4,10,2262.1,0.0,51.796875,3.046875,6.129406385991295
BE,onshore,1,50.75,4.25,50.830010575926856,4.208489325549151,capacity_weighted_kmeans_onshore,1,168,893.958,9.363056415258132,50.742188,4.21875,2.364105081430157
BE,onshore,2,51.0,5.0,50.87551216760854,5.1041580635854515,capacity_weighted_kmeans_onshore,2,217,1252.772,15.64864083977123,50.976562,5.039062,3.777265659955099
